1,47.96,48.7772,-0.0162,47.56,43.8498,1.557,47.5668979445684,44.3497524160965,1.557,53.6491022725468,50.2664060744342,-0.013796326794897
2,50.41,48.7514,-0.0162,50.01,43.824,1.557,50.0168979445684,44.3239524160965,1.557,56.0991022725468,50.2406060744342,-0.013796326794897
3,52.69,48.7274,-0.0162,52.29,43.8,1.557,52.2968979445684,44.2999524160965,1.557,58.3791022725468,50.2166060744342,-0.013796326794897
4,55,48.7031,-0.0162,54.6,43.7757,1.557,54.6068979445684,44.2756524160965,1.557,60.6891022725468,50.1923060744342,-0.013796326794897
5,57.25,48.6794,-0.0162,56.85,43.752,1.557,56.8568979445684,44.2519524160965,1.557,62.9391022725468,50.1686060744342,-0.013796326794897
6,59.51,48.6557,-0.0162,59.11,43.7283,1.557,59.1168979445684,44.2282524160965,1.557,65.1991022725468,50.1449060744342,-0.013796326794897
7,61.93,48.6302,-0.0162,61.53,43.7028,1.557,61.5368979445684,44.2027524160965,1.557,67.6191022725468,50.1194060744342,-0.013796326794897
8,64.16,48.6067,-0.0162,63.76,43.6793,1.557,63.7668979445684,44.1792524160965,1.557,69.8491022725468,50.0959060744342,-0.013796326794897
9,66.46,48.5825,-0.0162,66.06,43.6551,1.557,66.0668979445684,44.1550524160965,1.557,72.1491022725468,50.0717060744342,-0.013796326794897
10,68.83,48.5576,-0.0162,68.43,43.6302,1.557,68.4368979445684,44.1301524160965,1.557,74.5191022725468,50.0468060744342,-0.013796326794897
11,71.07,48.534,-0.0162,70.67,43.6066,1.557,70.6768979445684,44.1065524160965,1.557,76.7591022725468,50.0232060744342,-0.013796326794897
12,72.9386,48.3769,-0.0162,73.01,43.6066,1.557,73.0168979445684,44.1065524160965,1.557,79.0991022725468,50.0232060744342,-0.013796326794897
13,75.24,48.5848,-0.0162,75.34,43.5574,1.557,75.3468979445684,44.0573524160965,1.557,81.4291022725468,49.9740060744342,-0.013796326794897
14,75.25,50,-0.0162,76.85,54.8684,-1.5943,76.8382492453644,54.3685380993059,-1.5943,82.6955829980655,48.2291862353493,-0.023503673205104
15,73.5,50.5,-0.0162,74.06,54.8925,-1.5943,74.0482492453644,54.3926380993059,-1.5943,79.9055829980655,48.2532862353493,-0.023503673205104
16,71.36,50.45,-0.0162,71.76,54.9168,-1.5943,71.7482492453644,54.4169380993059,-1.5943,77.6055829980655,48.2775862353493,-0.023503673205104
17,69.13,50.3719,-0.0162,69.53,54.9403,-1.5943,69.5182492453644,54.4404380993059,-1.5943,75.3755829980655,48.3010862353493,-0.023503673205104
18,66.78,50.3967,-0.0162,67.18,54.9651,-1.5943,67.1682492453644,54.4652380993059,-1.5943,73.0255829980655,48.3258862353493,-0.023503673205104
19,64.45,50.4213,-0.0162,64.85,54.9897,-1.5943,64.8382492453644,54.4898380993059,-1.5943,70.6955829980655,48.3504862353493,-0.023503673205104
20,62.18,50.4452,-0.0162,62.58,55.0136,-1.5943,62.5682492453644,54.5137380993059,-1.5943,68.4255829980655,48.3743862353493,-0.023503673205104
21,59.85,50.4698,-0.0162,60.25,55.0382,-1.5943,60.2382492453644,54.5383380993059,-1.5943,66.0955829980655,48.3989862353493,-0.023503673205104
22,57.6,50.4935,-0.0162,58,55.0619,-1.5943,57.9882492453644,54.5620380993059,-1.5943,63.8455829980655,48.4226862353493,-0.023503673205104
23,55.25,50.5183,-0.0162,55.65,55.0867,-1.5943,55.6382492453644,54.5868380993059,-1.5943,61.4955829980655,48.4474862353493,-0.023503673205104
24,53,50.5421,-0.0162,53.4,55.1105,-1.5943,53.3882492453644,54.6106380993059,-1.5943,59.2455829980655,48.4712862353493,-0.023503673205104
25,50.69,50.5664,-0.0162,51.09,55.1348,-1.5943,51.0782492453644,54.6349380993059,-1.5943,56.9355829980655,48.4955862353493,-0.023503673205104
